2026-05-04 01:15:38 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:47:32 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 7.8ms
2026-05-04 01:47:46 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:47:46 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:47:46 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:47:46 | INFO     | hermes.http | ← GET /api/videos 200 27.8ms
2026-05-04 01:47:46 | INFO     | hermes.http | ← GET /api/videos 200 70.0ms
2026-05-04 01:47:46 | INFO     | hermes.http | ← GET /api/videos 200 8.5ms
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/videos 200 26.8ms
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 26.6ms
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 40.1ms
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 15.7ms
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 14.2ms
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 23.1ms
2026-05-04 01:47:47 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
